assignment_id,experiment_name,user_id,variant,assigned_at
1,checkout_progress_indicator,1,control,2026-03-12 21:17:00
2,checkout_progress_indicator,2,control,2026-03-03 09:31:00
3,checkout_progress_indicator,3,treatment,2026-03-09 21:27:00
4,checkout_progress_indicator,4,control,2026-03-08 02:17:00
5,checkout_progress_indicator,5,control,2026-03-09 13:36:00
6,checkout_progress_indicator,6,control,2026-03-02 13:52:00
7,checkout_progress_indicator,7,control,2026-03-07 12:45:00
8,checkout_progress_indicator,8,control,2026-03-09 18:21:00
9,checkout_progress_indicator,9,treatment,2026-03-05 18:33:00
10,checkout_progress_indicator,10,control,2026-03-13 05:57:00
11,checkout_progress_indicator,11,treatment,2026-03-08 09:55:00
12,checkout_progress_indicator,12,treatment,2026-03-06 01:48:00
13,checkout_progress_indicator,13,treatment,2026-03-01 10:21:00
14,checkout_progress_indicator,14,control,2026-03-03 08:36:00
15,checkout_progress_indicator,15,control,2026-03-07 16:08:00
16,checkout_progress_indicator,16,control,2026-03-06 14:24:00
17,checkout_progress_indicator,17,control,2026-03-13 04:49:00
18,checkout_progress_indicator,18,control,2026-03-12 00:05:00
19,checkout_progress_indicator,19,treatment,2026-03-03 05:24:00
20,checkout_progress_indicator,20,control,2026-03-09 06:44:00
21,checkout_progress_indicator,21,control,2026-03-07 08:40:00
22,checkout_progress_indicator,22,control,2026-03-02 09:59:00
23,checkout_progress_indicator,23,treatment,2026-03-10 07:44:00
24,checkout_progress_indicator,24,treatment,2026-03-08 12:29:00
25,checkout_progress_indicator,25,treatment,2026-03-02 05:23:00
26,checkout_progress_indicator,26,treatment,2026-03-07 13:16:00
27,checkout_progress_indicator,27,treatment,2026-03-11 05:50:00
28,checkout_progress_indicator,28,treatment,2026-03-05 13:54:00
29,checkout_progress_indicator,29,control,2026-03-05 23:54:00
30,checkout_progress_indicator,30,treatment,2026-03-02 13:00:00
31,checkout_progress_indicator,31,treatment,2026-03-03 20:39:00
