order_id,user_id,session_id,order_at,revenue,currency
1,3,10,2026-03-10 06:49:00,70.18,USD
2,3,13,2026-03-17 04:30:00,263.04,USD
3,4,17,2026-03-09 03:09:00,32.56,USD
4,4,18,2026-03-18 18:37:00,78.09,USD
5,6,28,2026-03-05 08:37:00,44.34,USD
6,11,53,2026-03-17 04:06:00,104.33,USD
7,14,74,2026-03-09 23:17:00,22.78,USD
8,19,84,2026-03-09 10:31:00,75.16,USD
9,19,87,2026-03-10 22:21:00,81.85,USD
10,22,107,2026-03-10 01:22:00,17.9,USD
11,26,126,2026-03-13 06:21:00,39.21,USD
12,30,146,2026-03-08 00:35:00,50.1,USD
13,33,160,2026-03-13 09:11:00,57.02,USD
14,35,170,2026-03-13 14:32:00,67.67,USD
15,42,198,2026-03-12 14:16:00,24.44,USD
16,48,225,2026-03-17 02:53:00,52.38,USD
17,52,238,2026-03-14 12:02:00,62.22,USD
18,64,283,2026-03-25 02:56:00,32.2,USD
19,80,348,2026-03-03 10:11:00,98.38,USD
20,81,353,2026-03-06 14:39:00,66.9,USD
21,83,360,2026-03-19 10:30:00,78.44,USD
22,83,363,2026-03-22 20:29:00,40.96,USD
23,85,374,2026-03-13 18:46:00,54.13,USD
24,87,379,2026-03-16 05:50:00,93.18,USD
25,90,390,2026-03-19 14:06:00,38.47,USD
26,92,397,2026-03-06 02:50:00,32.26,USD
27,96,418,2026-03-09 22:25:00,1.93,USD
28,100,433,2026-03-20 13:46:00,54.46,USD
29,101,435,2026-03-22 16:56:00,81.05,USD
30,105,461,2026-03-11 06:11:00,63.07,USD
31,106,466,2026-03-06 07:33:00,19.64,USD
32,107,468,2026-03-23 13:07:00,32.32,USD
33,110,478,2026-03-11 09:15:00,31.91,USD
34,116,494,2026-03-10 15:38:00,23.67,USD
35,116,503,2026-03-18 15:37:00,72.1,USD
36,120,524,2026-03-10 11:39:00,25.74,USD
37,122,539,2026-03-23 12:12:00,21.27,USD
38,124,544,2026-03-18 13:57:00,183.08,USD
39,126,551,2026-03-04 21:33:00,72.1,USD
40,131,563,2026-03-19 12:14:00,40.71,USD
41,132,571,2026-03-07 06:04:00,111.93,USD
42,143,610,2026-03-19 05:29:00,90.36,USD
43,144,613,2026-03-09 23:17:00,119.4,USD
44,144,614,2026-03-12 18:11:00,80.01,USD
45,151,633,2026-03-06 06:16:00,35.86,USD
46,152,639,2026-03-12 01:14:00,34.61,USD
47,152,642,2026-03-06 23:10:00,4.24,USD
48,156,654,2026-03-20 23:16:00,39.68,USD
49,157,657,2026-03-06 08:17:00,44.24,USD
50,162,682,2026-03-17 17:50:00,39.16,USD
51,163,684,2026-03-18 13:14:00,34.3,USD
52,167,707,2026-03-15 11:32:00,114.22,USD
53,167,708,2026-03-20 20:05:00,37.76,USD
54,170,721,2026-03-18 23:02:00,50.86,USD
55,176,748,2026-03-05 06:04:00,22.76,USD
56,179,763,2026-03-17 10:07:00,150.09,USD
57,180,767,2026-03-22 21:37:00,80.87,USD
58,180,770,2026-03-14 08:46:00,56.19,USD
59,180,772,2026-03-18 04:11:00,36.74,USD
60,181,781,2026-03-12 09:53:00,96.66,USD
61,185,795,2026-03-18 20:06:00,40.1,USD
62,187,799,2026-03-12 18:10:00,45.54,USD
63,194,831,2026-03-24 00:27:00,94.03,USD
64,195,843,2026-03-08 04:33:00,57.27,USD
65,197,847,2026-03-15 04:46:00,53.16,USD
