ticket_id,user_id,created_at,category,priority,first_response_minutes
1,29,2026-03-18 04:37:00,billing,high,69
2,43,2026-03-15 11:29:00,account,urgent,47
3,84,2026-03-11 22:10:00,bug,low,290
4,155,2026-03-11 18:01:00,billing,high,62
5,218,2026-03-13 17:59:00,checkout,low,212
6,245,2026-03-19 00:41:00,checkout,medium,297
7,269,2026-03-17 01:27:00,bug,medium,251
8,324,2026-03-14 09:27:00,account,urgent,41
9,452,2026-03-18 05:00:00,billing,low,194
10,518,2026-03-17 01:54:00,account,medium,255
11,583,2026-03-02 18:27:00,account,low,278
12,587,2026-03-12 02:33:00,account,high,109
13,613,2026-03-24 05:25:00,bug,medium,194
14,768,2026-03-21 04:56:00,bug,low,216
15,772,2026-03-04 10:53:00,account,high,55
16,789,2026-03-12 13:31:00,account,medium,319
17,804,2026-03-05 01:45:00,account,low,161
18,824,2026-03-14 22:05:00,billing,urgent,63
19,838,2026-03-13 23:50:00,account,medium,288
20,865,2026-03-14 11:38:00,billing,low,203
21,876,2026-03-18 18:37:00,billing,high,45
22,878,2026-03-19 23:49:00,bug,urgent,134
23,911,2026-03-16 22:37:00,checkout,low,174
24,963,2026-03-12 21:14:00,bug,low,243
25,1000,2026-03-14 07:14:00,bug,low,162
