user_id,signup_date,segment,device,region,acquisition_channel
1,2026-01-29,returning,ios,northeast,lifecycle
2,2026-02-03,returning,android,south,organic
3,2026-01-02,power,ios,northeast,paid_search
4,2026-01-08,returning,ios,midwest,partner
5,2026-02-19,new,android,west,paid_search
6,2026-02-12,power,android,northeast,partner
7,2026-01-12,returning,web,south,organic
8,2025-12-31,returning,ios,west,paid_search
9,2026-01-05,new,web,west,paid_search
10,2026-01-21,returning,android,midwest,partner
11,2026-01-23,returning,android,west,organic
12,2025-12-27,power,android,west,lifecycle
13,2025-12-19,returning,android,west,partner
14,2026-01-18,power,web,south,partner
15,2026-02-08,returning,ios,south,paid_search
16,2025-12-25,new,ios,south,partner
17,2026-01-12,returning,android,west,lifecycle
18,2025-12-26,new,web,west,paid_search
19,2025-12-31,power,ios,midwest,organic
20,2026-01-26,returning,android,south,paid_search
21,2026-01-04,returning,web,midwest,organic
22,2026-01-02,returning,web,west,partner
23,2026-02-22,power,web,west,organic
24,2025-12-27,power,android,west,organic
25,2025-12-28,returning,android,south,organic
26,2026-02-18,new,ios,south,paid_search
27,2026-01-22,returning,web,northeast,paid_search
28,2025-12-18,new,android,south,lifecycle
29,2026-01-13,new,web,south,organic
30,2026-01-23,returning,android,midwest,organic
31,2026-01-01,returning,android,west,lifecycle
32,2026-01-22,power,web,south,paid_search
33,2026-01-29,new,android,south,paid_search
34,2026-01-01,returning,web,south,paid_search
35,2026-02-09,returning,android,west,lifecycle
36,2026-01-15,new,android,northeast,partner
37,2026-02-20,new,ios,northeast,organic
38,2025-12-21,returning,android,west,paid_search
39,2026-01-06,new,android,midwest,paid_search
40,2026-02-03,returning,ios,midwest,organic
41,2026-02-15,returning,ios,west,organic
42,2025-12-30,power,android,northeast,lifecycle
43,2026-02-21,returning,android,midwest,partner
44,2025-12-28,new,android,northeast,organic
45,2026-01-13,power,ios,northeast,partner
46,2026-01-06,power,ios,west,lifecycle
47,2026-01-13,returning,ios,south,organic
48,2026-02-16,new,web,south,partner
49,2026-02-04,returning,web,west,lifecycle
50,2026-02-08,new,ios,south,paid_search
51,2026-01-01,new,android,northeast,lifecycle
52,2026-02-19,new,ios,west,paid_search
53,2026-01-14,returning,ios,south,partner
54,2026-01-29,returning,ios,northeast,lifecycle
55,2026-02-01,returning,ios,west,organic
56,2026-01-30,returning,android,south,organic
57,2026-01-26,returning,web,northeast,organic
58,2026-01-17,returning,ios,south,paid_search
59,2026-01-29,new,android,west,paid_search
60,2026-02-16,new,web,west,paid_search
61,2026-01-11,returning,web,northeast,organic
62,2026-01-19,returning,android,west,organic
63,2025-12-27,returning,ios,south,paid_search
64,2026-01-08,returning,android,west,lifecycle
65,2026-02-07,returning,ios,south,organic
66,2026-01-28,returning,web,northeast,organic
67,2025-12-29,returning,android,south,organic
68,2026-01-22,new,android,northeast,paid_search
69,2026-02-09,new,ios,west,partner
70,2025-12-23,returning,android,south,organic
71,2025-12-19,new,web,northeast,paid_search
72,2026-01-11,returning,android,south,lifecycle
73,2026-01-29,power,android,west,lifecycle
74,2026-01-05,new,web,northeast,partner
75,2026-02-10,new,web,south,lifecycle
76,2026-02-12,new,ios,south,lifecycle
77,2026-01-21,new,android,northeast,organic
78,2026-01-10,returning,android,west,organic
79,2025-12-17,returning,android,west,organic
80,2026-02-10,returning,ios,west,paid_search
81,2026-02-15,returning,ios,south,paid_search
82,2026-01-14,returning,web,west,paid_search
83,2026-01-20,power,web,midwest,partner
84,2026-02-05,new,web,west,lifecycle
85,2026-02-01,new,web,midwest,partner
86,2025-12-24,new,web,west,organic
87,2026-01-31,returning,web,south,paid_search
88,2026-02-17,returning,web,south,organic
89,2026-02-05,new,android,midwest,organic
90,2026-01-17,returning,android,south,lifecycle
91,2026-01-20,new,ios,south,lifecycle
92,2026-01-02,returning,android,northeast,lifecycle
93,2026-01-30,returning,ios,south,lifecycle
94,2025-12-31,returning,ios,west,lifecycle
95,2026-01-07,new,android,northeast,organic
96,2026-01-02,returning,android,south,paid_search
97,2026-01-07,returning,ios,west,paid_search
98,2026-01-09,new,web,south,organic
99,2025-12-20,new,web,west,paid_search
100,2026-02-03,power,ios,west,paid_search
101,2026-01-14,power,ios,midwest,lifecycle
102,2026-02-19,returning,ios,west,paid_search
103,2025-12-27,new,web,northeast,lifecycle
